timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,requests,rejections,totalRequests,hits,hits_last_min,bw
1659003523,0.005178857,0.04,84.5,0.017992525,500,"['192.168.10.17', '192.168.10.11']",53435,['192.168.10.17'],86,38790,80,0.691882102
1659003584,0.006215507,0.05,84.5,0.048655021,500,"['192.168.10.17', '192.168.10.11']",53625,['192.168.10.17'],156,38968,144,1.258697955
1659003644,0.00674264,0.24,84.5,0.068464533,500,"['192.168.10.17', '192.168.10.11']",53874,['192.168.10.17'],226,39198,206,1.786945375
1659003704,0.006505626,0.2,84.5,0.034501146,500,"['192.168.10.17', '192.168.10.11']",54106,['192.168.10.17'],240,39412,220,1.912897746
1659003764,0.007002424,0.24,84.5,0.036197145,500,"['192.168.10.17', '192.168.10.11']",54339,['192.168.10.17'],248,39624,228,1.970894814
1659003824,0.006301965,0.14,84.5,0.031988137,500,"['192.168.10.17', '192.168.10.11']",54556,['192.168.10.17'],202,39822,178,1.558090941
1659003884,0.006009551,0.08,84.5,0.026180258,499,"['192.168.10.17', '192.168.10.11']",54722,['192.168.10.17'],206,39972,192,1.698974895
1659003944,0.00395044,0.3,84.5,0.102692998,499,"['192.168.10.17', '192.168.10.11']",54740,['192.168.10.17'],66,39988,60,0.515398502
1659004004,0.004055193,0.11,84.5,0.003317885,499,"['192.168.10.17', '192.168.10.11']",54762,['192.168.10.17'],22,40008,20,0.175146262
1659004064,0.004108723,0.04,84.5,0.00337126,499,"['192.168.10.17', '192.168.10.11']",54778,['192.168.10.17'],16,40022,14,0.124008433
1659004124,0.004047732,0.01,84.5,0.003784892,499,"['192.168.10.17', '192.168.10.11']",54798,['192.168.10.17'],20,40040,18,0.147868792
1659004184,0.003943218,0.11,84.5,0.003049422,499,"['192.168.10.17', '192.168.10.11']",54816,['192.168.10.17'],18,40054,14,0.144631227
1659004245,0.003824241,0.17,84.5,0.025052681,499,"['192.168.10.17', '192.168.10.11']",54836,['192.168.10.17'],20,40072,18,0.144103686
1659004305,0.003619767,0.1,84.5,0.002990242,499,"['192.168.10.17', '192.168.10.11']",54860,['192.168.10.17'],24,40094,22,0.176940536
1659004365,0.003506752,0.03,84.5,0.002931016,499,"['192.168.10.17', '192.168.10.11']",54878,['192.168.10.17'],18,40110,16,0.148142338
1659004425,0.003612565,0.01,84.5,0.00460733,499,"['192.168.10.17', '192.168.10.11']",54898,['192.168.10.17'],20,40128,18,0.16779995
1659004485,0.005494505,0.46,84.5,0.348525469,499,"['192.168.10.17', '192.168.10.11']",54916,['192.168.10.17'],18,40144,16,0.151934338
1659004545,0.003809027,0.2,84.5,0.00537438,499,"['192.168.10.17', '192.168.10.11']",54930,['192.168.10.17'],14,40156,12,0.111373043
1659004605,0.00416118,0.11,84.5,0.007742547,499,"['192.168.10.17', '192.168.10.11']",54950,['192.168.10.17'],20,40172,16,0.159193993
